zoo,animal,agency,agencies,17
zoo,animal,allegation,allegations,17
zoo,animal,analyst,analysts,17
zoo,animal,area,areas,17
zoo,animal,artist,artists,17
zoo,animal,authority,authorities,17
zoo,animal,benefit,benefits,17
zoo,animal,building,buildings,17
zoo,animal,business,businesses,17
zoo,animal,candidate,candidates,17
zoo,animal,car,cars,17
zoo,animal,case,cases,17
zoo,animal,change,changes,17
zoo,animal,charge,charges,17
zoo,animal,child,children,17
zoo,animal,citizen,citizens,17
zoo,animal,city,cities,17
zoo,animal,company,companies,17
zoo,animal,concern,concerns,17
zoo,animal,condition,conditions,17
zoo,animal,country,countries,17
zoo,animal,day,days,17
zoo,animal,death,deaths,17
zoo,animal,decision,decisions,17
zoo,animal,dollar,dollars,17
zoo,animal,drug,drugs,17
zoo,animal,effort,efforts,17
zoo,animal,employee,employees,17
zoo,animal,event,events,17
zoo,animal,expert,experts,17
zoo,animal,family,families,17
zoo,animal,foot,feet,17
zoo,animal,friend,friends,17
zoo,animal,game,games,17
zoo,animal,group,groups,17
zoo,animal,home,homes,17
zoo,animal,hour,hours,17
zoo,animal,investor,investors,17
zoo,animal,issue,issues,17
zoo,animal,job,jobs,17
zoo,animal,kid,kids,17
zoo,animal,law,laws,17
zoo,animal,leader,leaders,17
zoo,animal,life,lives,17
zoo,animal,line,lines,17
zoo,animal,loss,losses,17
zoo,animal,man,men,17
zoo,animal,member,members,17
zoo,animal,mile,miles,17
zoo,animal,minute,minutes,17
zoo,animal,month,months,17
zoo,animal,number,numbers,17
zoo,animal,officer,officers,17
zoo,animal,official,officials,17
zoo,animal,operation,operations,17
zoo,animal,owner,owners,17
zoo,animal,parent,parents,17
zoo,animal,party,parties,17
zoo,animal,patient,patients,17
zoo,animal,person,people,17
zoo,animal,plan,plans,17
zoo,animal,player,players,17
zoo,animal,point,points,17
zoo,animal,price,prices,17
zoo,animal,problem,problems,17
zoo,animal,product,products,17
zoo,animal,program,programs,17
zoo,animal,project,projects,17
zoo,animal,question,questions,17
zoo,animal,rate,rates,17
zoo,animal,reason,reasons,17
zoo,animal,relation,relations,17
zoo,animal,report,reports,17
zoo,animal,resident,residents,17
zoo,animal,result,results,17
zoo,animal,right,rights,17
zoo,animal,rule,rules,17
zoo,animal,sale,sales,17
